,nom,themes_libe,lieu,codepostal,ouverturealannee,precisions_tarifs,services,url_site,tel,mail,adresse,location_latlong
0,LA CANTINE Ô MOINES,,VERTOU,44120,,,,www.lacantineomoines.com,02 40 34 21 33,lacantineomoines@gmail.com,12 quai de la Chaussée des Moines,"[47.1681536, -1.4800455]"
1,LA CIGALE,Restaurant gastronomique - cuisine raffinée,NANTES,44000,,,,http://www.lacigale.com,02 51 84 94 94,,4 Place Graslin,"[47.2129501, -1.5622253]"
2,LA CIVELLE,Brasserie,REZE,44400,oui,,"Séminaire, Service en terrasse, WiFi",http://www.lacivelle.com,02 40 75 46 60,,21 Quai Marcel Boissard,"[47.1948747, -1.5829826]"
3,LA TIMBALE,,NANTES,44100,,,,,06 49 34 73 56,,57 boulevard Victor Hugo,"[47.2023437, -1.5482932]"
4,LAMACCOTTE,Restaurant gastronomique - cuisine raffinée,NANTES,44000,oui,Menu adulte du jour (midi en semaine)||||||Menu dejeuner ; Menu adulte soir et week-end||||||Menu degustation,"Plats à emporter, Service en terrasse, WiFi",lamaccotte-restaurant-nantes.com,02 85 37 42 30,,7 rue Saint-Denis,"[47.21787, -1.55206]"
5,LE COIN DES CRÊPES,Crêperie,NANTES,44000,,,,http://www.pennkalet.com,02 40 35 39 36,le-coin-des-crepes@orange.fr,2 rue Armand Brossard,"[47.2165961, -1.5563227]"
6,LE PROLOGUE,,NANTES,44100,,,,www.restaurantleprologue.com,02 40 48 08 08,,14 rue du Capitaine Corhumel,"[47.2191601, -1.5624771]"
7,LE RIVE GAUCHE,Restaurant gastronomique - cuisine raffinée,NANTES,44200,oui,Menu adulte du jour (midi en semaine)||||||Menu retour du Marché (Entrée/ Plat/ Dessert) menu unique du midi en semaine ; Menu enfant||||||Menu Entrée/Plat/ Dessert ; Menu adulte soir et week-end||||||Menu Entrée/ Plat/ Dessert,"Banquet, Plats à emporter, Séminaire, Service en terrasse, Traiteur, WiFi",www.lerivegauche-restaurant.com,02 40 34 38 52,rive.gauche@wanadoo.fr,10 Côte Saint-Sébastien,"[47.2009761, -1.5321969]"
8,LES PETITS SAINTS,Cuisine traditionnelle,NANTES,44000,oui,,"Banquet, Séminaire",http://www.lespetitssaints.com,02 40 20 24 48,,1 Place Saint-Vincent,"[47.2174111, -1.5532894]"
9,MANOIR CLAUDINE-LA CHATAIGNERAIE,Salon de thé,SUCE-SUR-ERDRE,44240,oui,,"Banquet, Séminaire, Service en terrasse, WiFi",https://www.manoirclaudine.com/,02 49 62 39 00,contact@manoirclaudine.com,62 rue de la Papinière,"[47.3355769, -1.5222872]"
10,MANOIR DE LA RÉGATE,Restaurant gastronomique - cuisine raffinée,NANTES,44300,,,,http://www.lesfreresperou.fr,02 40 18 02 97,,155 Route de Gachet,"[47.293755, -1.527529]"
11,NOVOTEL NANTES CENTRE CITÉ DES CONGRÈS,Cuisine traditionnelle,NANTES,44000,oui,,"Banquet, Séminaire, Service en terrasse, WiFi",www.novotel.com,,,3 rue Valmy,"[47.2133674, -1.5436376]"
12,OMIJA,,NANTES,44100,,,,www.omija.fr,02 40 74 81 05,,54 rue Fouré,"[47.210378, -1.5473097]"
13,PICKLES,Restaurant gastronomique - cuisine raffinée,NANTES,44000,oui,,,http://www.pickles-restaurant.com,02 51 84 11 89,,2 rue du Marais,"[47.2181089, -1.5558886]"
14,A TABLE NATURELLEMENT,Cuisine traditionnelle,NANTES,44200,oui,,"Climatisation, Plats à emporter, Traiteur",https://www.atable-naturellement.fr/,02 28 44 38 23,,15 rue Louis Blanc,"[47.2064285, -1.55473]"
15,BAR-RHUMERIE MAÏNA,Bistrot / bar à vin,SUCE-SUR-ERDRE,44240,oui,,"Banquet, Service en terrasse",,02 40 77 94 36,,101 quai de bliesransbach,"[47.3392073, -1.527109]"
16,CAFE DE LA PLACE,Brasserie,PONT-SAINT-MARTIN,44860,oui,,,,09 87 41 12 63,cafedelaplacecyril@gmail.com,4 Rue du Pays de Retz,"[47.1230511, -1.5843299]"
17,LA GRANDE BAUCHE,Cuisine traditionnelle,PONT-SAINT-MARTIN,44860,oui,,"Climatisation, Séminaire, WiFi",https://www.domainedelagrandebauche.com/coming-soon-02,07 61 83 82 51,contact@lagrandebauche.com,La Grande Bauche,"[47.135236, -1.588348]"
18,LE BOUCHON,Cuisine du Monde,NANTES,44000,oui,,,,02 40 20 08 44,,7 rue Bossuet,"[47.2171247, -1.5551157]"
19,NEOPOLITAN PIZZERIA,,NANTES,44100,,,,www.neopolitan.fr,02 51 83 81 83,bonjour@neopolitan.fr,8 allée Baco,"[47.2142986, -1.5485862]"
20,CARA,,SAINT-SEBASTIEN-SUR-LOIRE,44230,,,,www.restaurantcara.com,02 40 34 66 84,restocara@gmail.com,124 boulevard des Pas Enchantés,"[47.20992, -1.503666]"
21,RESTAURANT ICI,,NANTES,44100,,,,www.restaurant-ici.fr,02 40 48 62 27,,1 rue Léon Blum,"[47.2187833, -1.5554421]"
22,CRÊPERIE HEB-KEN,Crêperie,NANTES,44000,,,,https://heb-ken.fr,02 40 48 79 03,,5 Rue de Guérande,"[47.2140972, -1.5590952]"
